session,rb,mb,rpm,map,actual,frames,visits,S,residual,first_ts
session_2026-08-12_17-30-32_5f1af7df,17,11,1755,0.296,3.01824,1,1,1.02333597501,0.0620360616416,1.78656907846e+12
session_2026-08-12_17-30-32_5f1af7df,18,11,1851,0.276,2.6496,1,1,1.02333597501,-0.159862434707,1.78656907767e+12
session_2026-08-12_17-30-32_5f1af7df,18,39,1882,0.982,11.77856,1,1,1.02333597501,-2.68775214073,1.78656911145e+12
session_2026-08-12_17-30-32_5f1af7df,20,39,2076,0.982,12.64128,1,1,1.02333597501,-1.43926125053,1.78656911008e+12
session_2026-08-12_17-30-32_5f1af7df,21,38,2155,0.972,12.288,1,1,1.02333597501,-1.27446400729,1.78656907346e+12
session_2026-08-12_17-30-32_5f1af7df,21,39,2129,0.982,12.1856,3,1,1.02333597501,-1.86121059649,1.7865690706e+12
session_2026-08-12_17-30-32_5f1af7df,22,23,2289,0.59,4.85376,1,1,1.02333597501,-0.0762476888494,1.78656673628e+12
session_2026-08-12_17-30-32_5f1af7df,25,20,2525,0.501,4.10112,2,1,1.02333597501,-0.199283897579,1.78656673762e+12
session_2026-08-12_17-30-32_5f1af7df,26,39,2658,0.982,11.40736,1,1,1.02333597501,-3.984842661,1.78656680917e+12
session_2026-08-12_17-30-32_5f1af7df,29,18,2990,0.472,4.21888,1,1,1.02333597501,-0.381734288143,1.78656674066e+12
session_2026-08-12_17-30-32_5f1af7df,30,18,3044,0.462,4.00896,1,1,1.02333597501,-0.599468085959,1.78656674122e+12
session_2026-08-14_16-45-40_807d2a20,8,15,864,0.394,4.23552,12,2,1.01721147445,0.0424111687208,1.7867396086e+12
session_2026-08-14_16-45-40_807d2a20,8,16,869,0.413,4.38528,16,4,1.01721147445,-0.011639311829,1.7867396075e+12
session_2026-08-14_16-45-40_807d2a20,8,17,872,0.433,4.4544,5,2,1.01721147445,-0.155296687516,1.78673964736e+12
