phase,class,coverage,N,sessions,safe_rate,MAE,P90,direction_N,direction_accuracy,jeffreys_low,jeffreys_high,session_macro_safe,absolute_error_ms,deadband_ms
preholdout,TRUST,0.0275482093664,10,7,0.9,0.115553551146,0.257180428649,8,0.875,0.618685228933,0.988988326237,0.857142857143,0.4,0.08
preholdout,PROVISIONAL,0.338842975207,123,16,0.723577235772,0.16976186663,0.383231997831,74,0.621621621622,0.640017631959,0.796755951429,0.73320983452,0.4,0.08
preholdout,WAIT,0.633608815427,230,14,0.578260869565,0.381166159784,0.862992033511,170,0.617647058824,0.513790923363,0.640774974625,0.603440085622,0.4,0.08
preholdout,TRUST,0.0275482093664,10,7,0.9,0.115553551146,0.257180428649,6,0.833333333333,0.618685228933,0.988988326237,0.857142857143,0.4,0.1
preholdout,PROVISIONAL,0.338842975207,123,16,0.739837398374,0.16976186663,0.383231997831,65,0.6,0.657371237635,0.811168529474,0.756126501187,0.4,0.1
preholdout,WAIT,0.633608815427,230,14,0.586956521739,0.381166159784,0.862992033511,165,0.618181818182,0.522564129327,0.649175768131,0.614429096611,0.4,0.1
preholdout,TRUST,0.0275482093664,10,7,1,0.115553551146,0.257180428649,4,1,0.782803732491,0.999952109567,1,0.4,0.12
preholdout,PROVISIONAL,0.338842975207,123,16,0.772357723577,0.16976186663,0.383231997831,57,0.614035087719,0.692492670224,0.83958028724,0.784928344505,0.4,0.12
preholdout,WAIT,0.633608815427,230,14,0.595652173913,0.381166159784,0.862992033511,159,0.616352201258,0.531357576998,0.657556323507,0.615464293298,0.4,0.12
preholdout,TRUST,0.0275482093664,10,7,1,0.115553551146,0.257180428649,2,1,0.782803732491,0.999952109567,1,0.4,0.15
preholdout,PROVISIONAL,0.338842975207,123,16,0.80487804878,0.16976186663,0.383231997831,49,0.632653061224,0.728234455927,0.867373266914,0.819851234115,0.4,0.15
preholdout,WAIT,0.633608815427,230,14,0.630434782609,0.381166159784,0.862992033511,142,0.62676056338,0.566738125316,0.690871832467,0.628528674569,0.4,0.15
preholdout,TRUST,0.0275482093664,10,7,1,0.115553551146,0.257180428649,2,1,0.782803732491,0.999952109567,1,0.4,0.2
preholdout,PROVISIONAL,0.338842975207,123,16,0.837398373984,0.16976186663,0.383231997831,32,0.5625,0.764710799855,0.89443423038,0.85417888563,0.4,0.2
preholdout,WAIT,0.633608815427,230,14,0.65652173913,0.381166159784,0.862992033511,130,0.646153846154,0.59349827309,0.715633790255,0.684928408376,0.4,0.2
